Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
4,4,7/30/2015,10387,1276,1,1,0,1
5,4,7/30/2015,4943,539,1,1,0,1
6,4,7/30/2015,4790,541,1,1,0,1
7,4,7/30/2015,11560,1116,1,1,0,1
8,4,7/30/2015,8420,882,1,1,0,1
9,4,7/30/2015,7539,651,1,1,0,1
10,4,7/30/2015,6186,556,1,1,0,1
11,4,7/30/2015,7361,874,1,1,0,1
12,4,7/30/2015,7996,835,1,1,0,1
13,4,7/30/2015,7648,474,1,1,0,0
14,4,7/30/2015,5672,613,1,1,0,1
15,4,7/30/2015,8891,741,1,1,0,1
16,4,7/30/2015,10226,953,1,1,0,1
17,4,7/30/2015,7555,850,1,1,0,1
18,4,7/30/2015,7361,710,1,1,0,1
19,4,7/30/2015,8400,687,1,1,0,1
20,4,7/30/2015,12379,1185,1,1,0,0
21,4,7/30/2015,6985,534,1,1,0,1
22,4,7/30/2015,5685,575,1,1,0,0
23,4,7/30/2015,5801,484,1,1,0,1
24,4,7/30/2015,11439,884,1,1,0,1
25,4,7/30/2015,11272,1422,1,1,0,1
26,4,7/30/2015,7892,679,1,1,0,1
27,4,7/30/2015,10270,1065,1,1,0,1
28,4,7/30/2015,6210,635,1,1,0,1
29,4,7/30/2015,8039,661,1,1,0,1
30,4,7/30/2015,4881,682,1,1,0,1
31,4,7/30/2015,6712,582,1,1,0,1
32,4,7/30/2015,5779,617,1,1,0,0
33,4,7/30/2015,8146,740,1,1,0,1
34,4,7/30/2015,8443,992,1,1,0,1
35,4,7/30/2015,11088,727,1,1,0,1
36,4,7/30/2015,11955,1150,1,1,0,0
37,4,7/30/2015,7771,791,1,1,0,1
38,4,7/30/2015,6591,499,1,1,0,1
39,4,7/30/2015,5734,668,1,1,0,1
40,4,7/30/2015,5191,661,1,1,0,1
41,4,7/30/2015,6311,455,1,1,0,0
42,4,7/30/2015,10853,1104,1,1,0,1
43,4,7/30/2015,5982,526,1,1,0,1
44,4,7/30/2015,5159,562,1,1,0,1
45,4,7/30/2015,6063,445,1,1,0,1
46,4,7/30/2015,7057,760,1,1,0,0
47,4,7/30/2015,7585,864,1,1,0,1
48,4,7/30/2015,3297,335,1,1,0,1
49,4,7/30/2015,8996,590,1,1,0,1
50,4,7/30/2015,5324,376,1,1,0,1
51,4,7/30/2015,8280,555,1,1,0,0
52,4,7/30/2015,7024,453,1,1,0,0
53,4,7/30/2015,6797,598,1,1,0,1
54,4,7/30/2015,9905,778,1,1,0,1
55,4,7/30/2015,5610,639,1,1,0,1
56,4,7/30/2015,8705,544,1,1,0,1
57,4,7/30/2015,9820,872,1,1,0,1
58,4,7/30/2015,8433,594,1,1,0,0
59,4,7/30/2015,5556,545,1,1,0,1
60,4,7/30/2015,10213,818,1,1,0,1
61,4,7/30/2015,5868,599,1,1,0,1
62,4,7/30/2015,7181,762,1,1,0,1
63,4,7/30/2015,9316,735,1,1,0,1
64,4,7/30/2015,13029,863,1,1,0,1
65,4,7/30/2015,6652,511,1,1,0,1
66,4,7/30/2015,6937,530,1,1,0,1
67,4,7/30/2015,10875,955,1,1,0,1
68,4,7/30/2015,7780,976,1,1,0,1
69,4,7/30/2015,10252,1230,1,1,0,1
70,4,7/30/2015,8034,678,1,1,0,1
71,4,7/30/2015,10090,761,1,1,0,1
72,4,7/30/2015,5434,541,1,1,0,0
73,4,7/30/2015,4998,492,1,1,0,1
74,4,7/30/2015,6349,839,1,1,0,1
75,4,7/30/2015,7551,711,1,1,0,1
76,4,7/30/2015,10775,1014,1,1,0,0
77,4,7/30/2015,8141,660,1,1,0,1
78,4,7/30/2015,3964,484,1,1,0,1
79,4,7/30/2015,6371,596,1,1,0,1
80,4,7/30/2015,8942,614,1,1,0,1
81,4,7/30/2015,7376,566,1,1,0,0
82,4,7/30/2015,10023,854,1,1,0,1
83,4,7/30/2015,3401,311,1,1,0,1
84,4,7/30/2015,12928,1255,1,1,0,1
85,4,7/30/2015,7187,1000,1,1,0,1
86,4,7/30/2015,4759,574,1,1,0,1
87,4,7/30/2015,6310,748,1,1,0,1
88,4,7/30/2015,7954,683,1,1,0,1
89,4,7/30/2015,6433,683,1,1,0,0
90,4,7/30/2015,8879,1017,1,1,0,1
91,4,7/30/2015,6151,538,1,1,0,1
92,4,7/30/2015,6683,598,1,1,0,1
93,4,7/30/2015,5897,585,1,1,0,1
94,4,7/30/2015,7964,649,1,1,0,1
95,4,7/30/2015,7525,794,1,1,0,1
96,4,7/30/2015,6308,634,1,1,0,1
97,4,7/30/2015,7695,713,1,1,0,1
98,4,7/30/2015,6399,455,1,1,0,1
99,4,7/30/2015,6046,500,1,1,0,0
100,4,7/30/2015,9631,761,1,1,0,0
1,3,7/29/2015,4782,523,1,1,0,1
2,3,7/29/2015,6402,727,1,1,0,1
3,3,7/29/2015,7610,716,1,1,0,1
4,3,7/29/2015,10514,1258,1,1,0,1
5,3,7/29/2015,5899,658,1,1,0,1
6,3,7/29/2015,5275,542,1,1,0,1
7,3,7/29/2015,12074,1166,1,1,0,1
8,3,7/29/2015,7029,698,1,1,0,1
9,3,7/29/2015,7776,625,1,1,0,1
10,3,7/29/2015,5524,518,1,1,0,1
11,3,7/29/2015,8378,1064,1,1,0,1
12,3,7/29/2015,9236,989,1,1,0,1
13,3,7/29/2015,6648,406,1,1,0,0
14,3,7/29/2015,5412,579,1,1,0,1
15,3,7/29/2015,7583,668,1,1,0,1
16,3,7/29/2015,9471,930,1,1,0,0
17,3,7/29/2015,7179,861,1,1,0,1
18,3,7/29/2015,7833,732,1,1,0,1
19,3,7/29/2015,7182,610,1,1,0,1
20,3,7/29/2015,10728,1040,1,1,0,0
21,3,7/29/2015,7337,560,1,1,0,0
22,3,7/29/2015,5551,525,1,1,0,0
23,3,7/29/2015,6319,511,1,1,0,1
24,3,7/29/2015,10362,810,1,1,0,1
25,3,7/29/2015,10527,1254,1,1,0,1
26,3,7/29/2015,7298,556,1,1,0,1
27,3,7/29/2015,10318,1029,1,1,0,1
28,3,7/29/2015,5547,546,1,1,0,1
29,3,7/29/2015,7564,614,1,1,0,1
30,3,7/29/2015,4551,597,1,1,0,1
31,3,7/29/2015,5982,570,1,1,0,1
32,3,7/29/2015,4869,508,1,1,0,0
33,3,7/29/2015,7028,656,1,1,0,1
34,3,7/29/2015,8658,949,1,1,0,1
35,3,7/29/2015,10634,662,1,1,0,1
36,3,7/29/2015,11962,1195,1,1,0,0
37,3,7/29/2015,7442,710,1,1,0,1
38,3,7/29/2015,6595,519,1,1,0,1
39,3,7/29/2015,5617,662,1,1,0,1
40,3,7/29/2015,5004,598,1,1,0,1
41,3,7/29/2015,5673,396,1,1,0,0
42,3,7/29/2015,10932,1096,1,1,0,1
43,3,7/29/2015,6960,590,1,1,0,1
44,3,7/29/2015,5649,609,1,1,0,1
45,3,7/29/2015,5341,387,1,1,0,1
46,3,7/29/2015,6955,716,1,1,0,0
47,3,7/29/2015,8051,997,1,1,0,1
48,3,7/29/2015,3646,362,1,1,0,1
49,3,7/29/2015,9691,609,1,1,0,0
50,3,7/29/2015,4946,379,1,1,0,1
51,3,7/29/2015,7538,501,1,1,0,0
52,3,7/29/2015,7584,472,1,1,0,0
53,3,7/29/2015,6451,572,1,1,0,1
54,3,7/29/2015,9177,720,1,1,0,1
55,3,7/29/2015,5924,629,1,1,0,1
56,3,7/29/2015,9048,540,1,1,0,1
57,3,7/29/2015,10245,907,1,1,0,1
58,3,7/29/2015,8200,572,1,1,0,0
59,3,7/29/2015,5228,491,1,1,0,1
60,3,7/29/2015,11136,914,1,1,0,1
61,3,7/29/2015,6760,657,1,1,0,0
62,3,7/29/2015,6820,719,1,1,0,1
63,3,7/29/2015,8667,674,1,1,0,1
64,3,7/29/2015,11569,759,1,1,0,1
65,3,7/29/2015,5356,423,1,1,0,1
66,3,7/29/2015,7050,520,1,1,0,0
67,3,7/29/2015,10662,930,1,1,0,0
68,3,7/29/2015,8626,1185,1,1,0,1
69,3,7/29/2015,9962,1187,1,1,0,1
70,3,7/29/2015,7258,660,1,1,0,1
71,3,7/29/2015,8806,651,1,1,0,1
72,3,7/29/2015,5366,505,1,1,0,0
73,3,7/29/2015,4605,453,1,1,0,1
74,3,7/29/2015,6804,887,1,1,0,1
75,3,7/29/2015,7476,664,1,1,0,1
76,3,7/29/2015,10030,980,1,1,0,0
77,3,7/29/2015,7865,607,1,1,0,1
78,3,7/29/2015,4125,473,1,1,0,1
79,3,7/29/2015,6674,650,1,1,0,0
80,3,7/29/2015,8388,575,1,1,0,1
81,3,7/29/2015,7589,521,1,1,0,0
82,3,7/29/2015,9641,818,1,1,0,1
83,3,7/29/2015,3922,323,1,1,0,1
84,3,7/29/2015,15367,1511,1,1,0,1
85,3,7/29/2015,7719,889,1,1,0,1
86,3,7/29/2015,5021,580,1,1,0,1
87,3,7/29/2015,6078,785,1,1,0,1
88,3,7/29/2015,5605,560,1,1,0,1
89,3,7/29/2015,6658,634,1,1,0,0
90,3,7/29/2015,8107,904,1,1,0,1
91,3,7/29/2015,5813,511,1,1,0,0
92,3,7/29/2015,6917,587,1,1,0,1
93,3,7/29/2015,5952,562,1,1,0,1
94,3,7/29/2015,7718,616,1,1,0,1
95,3,7/29/2015,7776,773,1,1,0,1
96,3,7/29/2015,7216,673,1,1,0,1
97,3,7/29/2015,7446,635,1,1,0,1
98,3,7/29/2015,5431,384,1,1,0,1
99,3,7/29/2015,7123,530,1,1,0,0
100,3,7/29/2015,9512,724,1,1,0,0
1,2,7/28/2015,5011,560,1,1,0,1
2,2,7/28/2015,5671,646,1,1,0,1
3,2,7/28/2015,8864,818,1,1,0,1
4,2,7/28/2015,10275,1191,1,1,0,1
5,2,7/28/2015,6083,598,1,1,0,1
6,2,7/28/2015,4839,576,1,1,0,1
7,2,7/28/2015,12342,1158,1,1,0,1
8,2,7/28/2015,6717,695,1,1,0,1
9,2,7/28/2015,8751,678,1,1,0,1
10,2,7/28/2015,6140,593,1,1,0,1
11,2,7/28/2015,6938,938,1,1,0,1
12,2,7/28/2015,8822,861,1,1,0,1
13,2,7/28/2015,6819,446,1,1,0,0
14,2,7/28/2015,5957,628,1,1,0,1
15,2,7/28/2015,7516,646,1,1,0,1
16,2,7/28/2015,9695,1013,1,1,0,0
17,2,7/28/2015,9316,983,1,1,0,1
18,2,7/28/2015,7704,724,1,1,0,1
19,2,7/28/2015,7717,633,1,1,0,1
20,2,7/28/2015,10884,1048,1,1,0,0
21,2,7/28/2015,7948,575,1,1,0,0
22,2,7/28/2015,5761,525,1,1,0,0
23,2,7/28/2015,5923,484,1,1,0,1
24,2,7/28/2015,11129,876,1,1,0,1
25,2,7/28/2015,10865,1363,1,1,0,1
26,2,7/28/2015,7926,547,1,1,0,1
27,2,7/28/2015,10956,1075,1,1,0,1
28,2,7/28/2015,6001,598,1,1,0,1
29,2,7/28/2015,8450,697,1,1,0,1
30,2,7/28/2015,4925,670,1,1,0,1
31,2,7/28/2015,5736,492,1,1,0,1
32,2,7/28/2015,5679,586,1,1,0,0
33,2,7/28/2015,8268,732,1,1,0,1
34,2,7/28/2015,9169,989,1,1,0,1
35,2,7/28/2015,10877,711,1,1,0,1
36,2,7/28/2015,10846,1166,1,1,0,0
37,2,7/28/2015,7976,756,1,1,0,1
38,2,7/28/2015,6650,552,1,1,0,1
39,2,7/28/2015,6145,660,1,1,0,1
40,2,7/28/2015,5387,673,1,1,0,1
41,2,7/28/2015,5600,411,1,1,0,0
42,2,7/28/2015,10896,1082,1,1,0,1
43,2,7/28/2015,7180,613,1,1,0,1
44,2,7/28/2015,6130,632,1,1,0,1
45,2,7/28/2015,5504,365,1,1,0,1
46,2,7/28/2015,6385,714,1,1,0,0
47,2,7/28/2015,8066,862,1,1,0,1
48,2,7/28/2015,3598,351,1,1,0,1
49,2,7/28/2015,9694,614,1,1,0,0
50,2,7/28/2015,5115,390,1,1,0,1
51,2,7/28/2015,7847,464,1,1,0,0
52,2,7/28/2015,7787,450,1,1,0,0
53,2,7/28/2015,6162,604,1,1,0,1
54,2,7/28/2015,8992,718,1,1,0,1
55,2,7/28/2015,6252,678,1,1,0,1
56,2,7/28/2015,8400,537,1,1,0,1
57,2,7/28/2015,11248,957,1,1,0,1
58,2,7/28/2015,8489,613,1,1,0,0
59,2,7/28/2015,6699,596,1,1,0,1
60,2,7/28/2015,12230,907,1,1,0,1
61,2,7/28/2015,6397,641,1,1,0,0
62,2,7/28/2015,7593,802,1,1,0,1
63,2,7/28/2015,7707,625,1,1,0,1
64,2,7/28/2015,12596,827,1,1,0,1
65,2,7/28/2015,6670,522,1,1,0,1
66,2,7/28/2015,6927,535,1,1,0,0
67,2,7/28/2015,11285,996,1,1,0,0
68,2,7/28/2015,8195,1120,1,1,0,1
69,2,7/28/2015,10843,1309,1,1,0,1
70,2,7/28/2015,8317,708,1,1,0,1
71,2,7/28/2015,11661,780,1,1,0,1
72,2,7/28/2015,6659,552,1,1,0,0
73,2,7/28/2015,5460,509,1,1,0,1
74,2,7/28/2015,6983,858,1,1,0,1
75,2,7/28/2015,6292,629,1,1,0,1
76,2,7/28/2015,10676,961,1,1,0,0
77,2,7/28/2015,9524,668,1,1,0,1
78,2,7/28/2015,4887,536,1,1,0,1
79,2,7/28/2015,7794,762,1,1,0,0
80,2,7/28/2015,9331,594,1,1,0,1
81,2,7/28/2015,8959,614,1,1,0,0
82,2,7/28/2015,10612,875,1,1,0,1
83,2,7/28/2015,3771,326,1,1,0,1
84,2,7/28/2015,14892,1383,1,1,0,1
85,2,7/28/2015,7533,920,1,1,0,1
86,2,7/28/2015,5083,609,1,1,0,1
87,2,7/28/2015,6964,770,1,1,0,1
88,2,7/28/2015,7308,705,1,1,0,1
89,2,7/28/2015,7313,702,1,1,0,0
90,2,7/28/2015,9857,1080,1,1,0,1
91,2,7/28/2015,6485,571,1,1,0,0
92,2,7/28/2015,7760,583,1,1,0,1
93,2,7/28/2015,6274,552,1,1,0,1
94,2,7/28/2015,8929,701,1,1,0,1
95,2,7/28/2015,9107,922,1,1,0,1
96,2,7/28/2015,8434,729,1,1,0,1
97,2,7/28/2015,8359,733,1,1,0,1
98,2,7/28/2015,5197,403,1,1,0,1
99,2,7/28/2015,6387,506,1,1,0,0
100,2,7/28/2015,9081,716,1,1,0,0
1,1,7/27/2015,6102,612,1,1,0,1
2,1,7/27/2015,6627,638,1,1,0,1
3,1,7/27/2015,8107,768,1,1,0,1
4,1,7/27/2015,11812,1379,1,1,0,1
5,1,7/27/2015,7059,650,1,1,0,1
6,1,7/27/2015,5723,582,1,1,0,1
7,1,7/27/2015,14869,1340,1,1,0,1
8,1,7/27/2015,8739,841,1,1,0,1
9,1,7/27/2015,10649,777,1,1,0,1
10,1,7/27/2015,7212,662,1,1,0,1
11,1,7/27/2015,8796,1070,1,1,0,1
12,1,7/27/2015,10227,979,1,1,0,1
13,1,7/27/2015,7926,527,1,1,0,0
14,1,7/27/2015,6614,727,1,1,0,1
15,1,7/27/2015,9053,753,1,1,0,1
16,1,7/27/2015,10260,1038,1,1,0,0
17,1,7/27/2015,8293,904,1,1,0,1
18,1,7/27/2015,10055,888,1,1,0,1
19,1,7/27/2015,8825,732,1,1,0,1
20,1,7/27/2015,11255,1183,1,1,0,0
21,1,7/27/2015,9657,634,1,1,0,0
22,1,7/27/2015,7114,621,1,1,0,0
23,1,7/27/2015,8488,615,1,1,0,1
24,1,7/27/2015,13096,973,1,1,0,1
25,1,7/27/2015,11806,1536,1,1,0,1
26,1,7/27/2015,11328,780,1,1,0,1
27,1,7/27/2015,12322,1116,1,1,0,1
28,1,7/27/2015,7392,666,1,1,0,1
29,1,7/27/2015,11659,889,1,1,0,1
30,1,7/27/2015,5235,677,1,1,0,1
31,1,7/27/2015,8054,684,1,1,0,1
32,1,7/27/2015,5947,585,1,1,0,0
33,1,7/27/2015,9866,901,1,1,0,1
34,1,7/27/2015,10274,1085,1,1,0,1
35,1,7/27/2015,13740,828,1,1,0,1
36,1,7/27/2015,12582,1247,1,1,0,0
37,1,7/27/2015,9573,882,1,1,0,1
38,1,7/27/2015,8759,708,1,1,0,1
39,1,7/27/2015,7084,748,1,1,0,1
40,1,7/27/2015,5282,643,1,1,0,1
41,1,7/27/2015,7295,538,1,1,0,0
42,1,7/27/2015,12420,1155,1,1,0,1
43,1,7/27/2015,8816,710,1,1,0,1
44,1,7/27/2015,8206,771,1,1,0,1
45,1,7/27/2015,7450,500,1,1,0,1
46,1,7/27/2015,10068,896,1,1,0,0
47,1,7/27/2015,8633,973,1,1,0,1
48,1,7/27/2015,4405,408,1,1,0,1
49,1,7/27/2015,10561,675,1,1,0,0
50,1,7/27/2015,6684,464,1,1,0,1
51,1,7/27/2015,8672,563,1,1,0,0
52,1,7/27/2015,9118,508,1,1,0,0
53,1,7/27/2015,6853,621,1,1,0,1
54,1,7/27/2015,11237,849,1,1,0,1
55,1,7/27/2015,6017,670,1,1,0,1
56,1,7/27/2015,9960,632,1,1,0,1
57,1,7/27/2015,14080,1178,1,1,0,1
58,1,7/27/2015,10750,660,1,1,0,0
59,1,7/27/2015,7519,645,1,1,0,1
60,1,7/27/2015,14030,969,1,1,0,1
61,1,7/27/2015,7911,737,1,1,0,0
62,1,7/27/2015,8619,846,1,1,0,1
63,1,7/27/2015,10881,835,1,1,0,1
64,1,7/27/2015,15285,913,1,1,0,1
65,1,7/27/2015,7436,564,1,1,0,1
66,1,7/27/2015,8775,635,1,1,0,0
67,1,7/27/2015,13569,1096,1,1,0,0
68,1,7/27/2015,9701,1220,1,1,0,1
69,1,7/27/2015,11636,1285,1,1,0,1
70,1,7/27/2015,10017,841,1,1,0,1
71,1,7/27/2015,12920,844,1,1,0,1
72,1,7/27/2015,7992,668,1,1,0,0
73,1,7/27/2015,5895,532,1,1,0,1
74,1,7/27/2015,7765,934,1,1,0,1
75,1,7/27/2015,7346,754,1,1,0,1
76,1,7/27/2015,12778,1119,1,1,0,0
77,1,7/27/2015,10852,759,1,1,0,1
78,1,7/27/2015,5450,578,1,1,0,1
79,1,7/27/2015,9450,775,1,1,0,0
80,1,7/27/2015,10419,707,1,1,0,1
81,1,7/27/2015,9627,662,1,1,0,0
82,1,7/27/2015,12101,988,1,1,0,1
83,1,7/27/2015,5237,409,1,1,0,1
84,1,7/27/2015,16104,1412,1,1,0,1
85,1,7/27/2015,7788,956,1,1,0,1
86,1,7/27/2015,5524,610,1,1,0,1
87,1,7/27/2015,8403,941,1,1,0,1
88,1,7/27/2015,9340,753,1,1,0,1
89,1,7/27/2015,8335,794,1,1,0,0
90,1,7/27/2015,10556,1083,1,1,0,1
91,1,7/27/2015,7706,643,1,1,0,0
92,1,7/27/2015,9528,705,1,1,0,1
93,1,7/27/2015,8356,699,1,1,0,1
94,1,7/27/2015,11168,780,1,1,0,1
95,1,7/27/2015,11134,1035,1,1,0,1
96,1,7/27/2015,8731,714,1,1,0,1
97,1,7/27/2015,10538,865,1,1,0,1
98,1,7/27/2015,7409,550,1,1,0,1
99,1,7/27/2015,8213,614,1,1,0,0
100,1,7/27/2015,11354,858,1,1,0,0
1,7,7/26/2015,0,0,0,0,0,0
2,7,7/26/2015,0,0,0,0,0,0
3,7,7/26/2015,0,0,0,0,0,0
4,7,7/26/2015,0,0,0,0,0,0
5,7,7/26/2015,0,0,0,0,0,0
6,7,7/26/2015,0,0,0,0,0,0
7,7,7/26/2015,0,0,0,0,0,0
8,7,7/26/2015,0,0,0,0,0,0
9,7,7/26/2015,0,0,0,0,0,0
10,7,7/26/2015,0,0,0,0,0,1
11,7,7/26/2015,0,0,0,0,0,0
12,7,7/26/2015,0,0,0,0,0,0
13,7,7/26/2015,0,0,0,0,0,0
14,7,7/26/2015,0,0,0,0,0,0
15,7,7/26/2015,0,0,0,0,0,0
16,7,7/26/2015,0,0,0,0,0,0
17,7,7/26/2015,0,0,0,0,0,0
18,7,7/26/2015,0,0,0,0,0,0
19,7,7/26/2015,0,0,0,0,0,0
20,7,7/26/2015,0,0,0,0,0,0
21,7,7/26/2015,0,0,0,0,0,0
22,7,7/26/2015,0,0,0,0,0,0
23,7,7/26/2015,0,0,0,0,0,0
24,7,7/26/2015,0,0,0,0,0,0
25,7,7/26/2015,0,0,0,0,0,0
26,7,7/26/2015,0,0,0,0,0,0
27,7,7/26/2015,0,0,0,0,0,0
28,7,7/26/2015,0,0,0,0,0,0
29,7,7/26/2015,0,0,0,0,0,0
30,7,7/26/2015,0,0,0,0,0,0
31,7,7/26/2015,0,0,0,0,0,0
32,7,7/26/2015,0,0,0,0,0,0
33,7,7/26/2015,0,0,0,0,0,0
34,7,7/26/2015,0,0,0,0,0,0
35,7,7/26/2015,0,0,0,0,0,0
36,7,7/26/2015,0,0,0,0,0,0
37,7,7/26/2015,0,0,0,0,0,0
38,7,7/26/2015,0,0,0,0,0,0
39,7,7/26/2015,0,0,0,0,0,0
40,7,7/26/2015,0,0,0,0,0,0
41,7,7/26/2015,0,0,0,0,0,0
42,7,7/26/2015,0,0,0,0,0,0
43,7,7/26/2015,0,0,0,0,0,0
44,7,7/26/2015,0,0,0,0,0,0
45,7,7/26/2015,0,0,0,0,0,0
46,7,7/26/2015,0,0,0,0,0,0
47,7,7/26/2015,0,0,0,0,0,0
48,7,7/26/2015,0,0,0,0,0,0
49,7,7/26/2015,0,0,0,0,0,0
50,7,7/26/2015,0,0,0,0,0,0
51,7,7/26/2015,0,0,0,0,0,0
52,7,7/26/2015,0,0,0,0,0,0
53,7,7/26/2015,0,0,0,0,0,0
54,7,7/26/2015,0,0,0,0,0,0
55,7,7/26/2015,0,0,0,0,0,0
56,7,7/26/2015,0,0,0,0,0,0
57,7,7/26/2015,0,0,0,0,0,0
58,7,7/26/2015,0,0,0,0,0,0
59,7,7/26/2015,0,0,0,0,0,0
60,7,7/26/2015,0,0,0,0,0,0
61,7,7/26/2015,0,0,0,0,0,0
62,7,7/26/2015,0,0,0,0,0,0
63,7,7/26/2015,0,0,0,0,0,0
64,7,7/26/2015,0,0,0,0,0,0
65,7,7/26/2015,0,0,0,0,0,0
66,7,7/26/2015,0,0,0,0,0,0
67,7,7/26/2015,0,0,0,0,0,0
68,7,7/26/2015,0,0,0,0,0,0
69,7,7/26/2015,0,0,0,0,0,0
70,7,7/26/2015,0,0,0,0,0,1
71,7,7/26/2015,0,0,0,0,0,0
72,7,7/26/2015,0,0,0,0,0,0
73,7,7/26/2015,0,0,0,0,0,0
74,7,7/26/2015,0,0,0,0,0,0
75,7,7/26/2015,0,0,0,0,0,0
76,7,7/26/2015,0,0,0,0,0,0
77,7,7/26/2015,0,0,0,0,0,0
78,7,7/26/2015,0,0,0,0,0,0
79,7,7/26/2015,0,0,0,0,0,0
80,7,7/26/2015,0,0,0,0,0,0
81,7,7/26/2015,0,0,0,0,0,0
82,7,7/26/2015,0,0,0,0,0,0
83,7,7/26/2015,0,0,0,0,0,0
84,7,7/26/2015,0,0,0,0,0,0
